username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MicheleKearney;2019-03-09 15:31;0;0;"Michele Kearney's Snuffysmith's Blog: Trump’s costly summit with Kim Jong Un | Pittsburg... https://snuffysmithsblog.blogspot.com/2019/03/trumps-costly-summit-with-kim-jong-un.html?spref=tw …";;;;"1104404447147577346";https://twitter.com/MicheleKearney/status/1104404447147577346
RockysMoDrNLife;2019-03-09 15:31;0;0;"If Kim Jong and Trump had a documentary made about each other’s love affair - ‘Agent Orange and the Rocketman.’ #SaturdayThoughts #agentorange #rocketman";;;#SaturdayThoughts #agentorange #rocketman;"1104404390004314112";https://twitter.com/RockysMoDrNLife/status/1104404390004314112
Twistedankle3;2019-03-09 15:31;0;0;"Trumps friends: KIM- murderous dictator PUTIN-murderous dictator MBS-murderous dictator. THEY WILL TURN ON ISRAEL... THEY ARE ANTI-SEMITIC. Murdered: OTTO, KHASHOGGI, SKRIPAL... https://twitter.com/politvidchannel/status/1104040663241224193 …";;;;"1104404368634241024";https://twitter.com/Twistedankle3/status/1104404368634241024
Veldpark;2019-03-09 15:30;0;1;"Yes, they're sending a message. We all knew after the summit that Kim has no intention of ever giving up his nukes. Many presidents failed, and Trump tried a different approach. It didn't work, just like all previous presidents. @FoxNews";;@FoxNews;;"1104404138870403075";https://twitter.com/Veldpark/status/1104404138870403075
tv_window;2019-03-09 15:29;0;0;"Kim Jong Un Riding High After Meeting with Trump https://tvwindow.org/kim-jong-un-riding-high-after-meeting-with-trump/ …pic.twitter.com/nRqW74kVcr";;;;"1104403795696467969";https://twitter.com/tv_window/status/1104403795696467969
maggie12161773;2019-03-09 15:29;0;1;"Nothing but continuing the war will stop Kim’s ambitions. There is no sanctions that will stop it. As long as other countries help N Korea the worse this will get. There will only be 2 choices ignore it and hope for the best and it spread or war. tRump is to blame for this.";;;;"1104403770840997888";https://twitter.com/maggie12161773/status/1104403770840997888
JanetWa94118686;2019-03-09 15:27;0;0;"Beltway Insider: Trump/Kim Jong Un Overshadowed, Otto Warmbier, Cohen/Trump, Brexit Implosion, Netanyahu, 2020 http://www.haute-lifestyle.com/168-haute-this-issue/3908-beltway-insider-trump-kim-jong-un-overshadowed-otto-warmbier-cohen-trump-brexit-implosion-netanyahu-2020.html#.XIPbQeICH-M.twitter …";;;#;"1104403221076881408";https://twitter.com/JanetWa94118686/status/1104403221076881408
elspence333;2019-03-09 15:26;0;0;"@CBCNews @jnorthcottCBC Two peeves: 1) " Unpredictable " leaderS? In context of NOKO NUKE threat only Kim Jong Un is unpredictable; CBC report skews story by adding a cheap shot at Trump; conflates NUKE RISK & CBC ANATROPIA ! 2) Smollett obsessed w/ Trump MAGA HATE! HE'S NUTS pic.twitter.com/rXIn7bhU15";;@CBCNews @jnorthcottCBC;;"1104403149434048512";https://twitter.com/elspence333/status/1104403149434048512
misscalliecat;2019-03-09 15:25;0;1;"If you replaced #3 with "Fox and memes" that list describes trump supporters!";;;#3;"1104402816121024512";https://twitter.com/misscalliecat/status/1104402816121024512
eatadog;2019-03-09 15:25;0;3;"Kim has made a fool out of Trump and by extension he’s made a fool out of the United States";;;;"1104402734860636160";https://twitter.com/eatadog/status/1104402734860636160
seismoneedle;2019-03-09 15:23;0;0;"Egomaniacs like Kim, Trump, Xi, and Putin use alarmist behaviour to control their citizens and prop up economy through fear. We need to call it what it is: bs. You'd think after 40 years of this in the last century we'd have figured out their game.";;;;"1104402338981150720";https://twitter.com/seismoneedle/status/1104402338981150720
claude43489259;2019-03-09 15:21;0;0;"https://www.lapresse.ca/international/asie-oceanie/201903/09/01-5217632-la-coree-du-nord-pourrait-preparer-un-tir-de-missile-ou-de-fusee.php … La seule chose a faire est de détruire ce pays de merde il faut attendre que Trump soit avec son ami Kim en Corée N";;;;"1104401793709158402";https://twitter.com/claude43489259/status/1104401793709158402
RobGrane146;2019-03-09 15:21;0;0;"Trump has already kiss Kim's ass. Instead of condeming him for the death of the American in North Korea, he defends the dictator to the world. America can turn North Korea into a parking lot if it wanted too and Kim knows that. Top dog has been established long before Trump...";;;;"1104401772054020097";https://twitter.com/RobGrane146/status/1104401772054020097
douglasfxs;2019-03-09 15:20;0;0;"A melhor parte é o subtítulo: "O presidente americano Donald Trump declarou que ficará 'muito, muito decepcionado' com Kim Jong-un caso a informação seja confirmada" https://twitter.com/g1/status/1104392647504998400 …";;;;"1104401546228436995";https://twitter.com/douglasfxs/status/1104401546228436995
douglasfxs;2019-03-09 15:20;0;1;"A melhor parte é o subtítulo: "O presidente americano Donald Trump declarou que ficará 'muito, muito decepcionado' com Kim Jong-un caso a informação seja confirmada"";;;;"1104401508546822145";https://twitter.com/douglasfxs/status/1104401508546822145
Twistedankle3;2019-03-09 15:20;0;0;"Crazy crazy crazy Wow you are SO CHRISTIAN calling people Nuts...what do you think of TRUMPS friends: MURDEROUS Putin MURDEROUS KIM MURDEROUS MBS... Don't deflect, he has aligned with NON-CHRISTIANS...AND WE DONT CARE WHAT YOY HAVE TO SAY... NUTS TO YOU... https://twitter.com/JerryFalwellJr/status/1104235946919280640 …";;;;"1104401473721364481";https://twitter.com/Twistedankle3/status/1104401473721364481
KBSWorldRadio;2019-03-09 15:18;0;1;"Trump Says Good Relations Remain with Kim Jong-un http://dlvr.it/R0VjFn pic.twitter.com/YAyKFlJmCV";;;;"1104401097609732098";https://twitter.com/KBSWorldRadio/status/1104401097609732098
abp_gdmino;2019-03-09 15:18;0;0;"Watch "LIVE: GCR the Big Lie! Trump and Kim Restructure the Banking System T-10" on YouTube https://youtu.be/9ozEQi68H7U";;;;"1104401084573995008";https://twitter.com/abp_gdmino/status/1104401084573995008
bgpelaire;2019-03-09 15:18;0;0;"This is why Trump loves MBS and Kim and Putin. It’s hard to have to keep “galvanising the base” and a lot easier to just murder the journalists and opposition.";;;;"1104401081038196736";https://twitter.com/bgpelaire/status/1104401081038196736
JSKIMMEL28;2019-03-09 15:17;0;0;"Why would Kim denuke? He knows Trump’s as crazy as he is in spite of their great “love.”";;;;"1104400849764302850";https://twitter.com/JSKIMMEL28/status/1104400849764302850
TraceyMorgin;2019-03-09 15:17;0;1;"Bad hair is a great giveaway for a right wing clown. Look at Trump and Kim Jong. I don't think they have cottoned on yet either.";;;;"1104400779027333125";https://twitter.com/TraceyMorgin/status/1104400779027333125
nigel_bodu;2019-03-09 15:16;0;0;"Well he’s emboldened, the US weakened their hands by Trump meetings with him before a deal was at hand now China and Russia will pursue their own policy and do business with Kim...SAD...";;;;"1104400525036929025";https://twitter.com/nigel_bodu/status/1104400525036929025
sam_vinograd;2019-03-09 15:15;14;27;"Trump learns perils of ‘made-in-America’ regime change ⁦ @politico⁩ [despot double standard alert - Kim is still the target of ⁦ @realDonaldTrump⁩ ‘s affection ]https://www.politico.com/story/2019/03/09/trump-sanctions-iran-venezuela-1213496 …";;@politico @realDonaldTrump;;"1104400417201537024";https://twitter.com/sam_vinograd/status/1104400417201537024
STrumbetti;2019-03-09 15:15;0;0;"@SpeakerPelosi @SenSchumer @RepAdamSchiff @MSNBC you should have impeached Trump when he fired James Comey now that he walked out on Kim jung un and didn't stay for talks and dinner Kim is insulted and has to now save face and now will retaliate back to";;@SpeakerPelosi @SenSchumer @RepAdamSchiff @MSNBC;;"1104400249324560384";https://twitter.com/STrumbetti/status/1104400249324560384
Njeanous;2019-03-09 15:15;0;0;"The #Wonderful things #Trump has done to bring down America never get enough coverage says Laura @IngrahamAngle: Where's thanks for #ShutdownVacations? The Permanent #Separation of Families? The enhanced #RacialDivides? #Secret Meetings with #Putin? Failed #KIM_Summits? @FoxNewshttps://twitter.com/rjoseph7777/status/1104398333940948993 …";;@IngrahamAngle @FoxNewshttps;#Wonderful #Trump #ShutdownVacations #Separation #RacialDivides #Secret #Putin #KIM_Summits;"1104400240155586561";https://twitter.com/Njeanous/status/1104400240155586561
Twistedankle3;2019-03-09 15:14;0;0;"Trump has aligned with 3 notorious murderous Non-Christians: Putin=non-Christian Kim=non-Christian MBS= non-Christian... These MURDEROUS DICTATORs will turn on Israel.. They are anti-Semitic https://twitter.com/WhiteHouse/status/1104088205853364226 …";;;;"1104400163236282369";https://twitter.com/Twistedankle3/status/1104400163236282369
bondcliff;2019-03-09 15:13;0;0;"This was always the issue with NK. Trump was right to walk away. Kim was attempting to play the US to get sanctions lifted knowing it would be harder to reinstate them when he started to rebuild. Without verification and inspections there can be no deal.";;;;"1104399942037188608";https://twitter.com/bondcliff/status/1104399942037188608
alcamcast;2019-03-09 15:13;0;0;"Pregunta del millón ¿porque Donald Trump no libera a la población de Corea del Norte de las malvadas garras de Kim Jong-un, así como quiere liberar a Venezuela de las malvadas garras de Nicolás Maduro? Ambos países tienen el mismo problema, comunismo y precaria alimentación.";;;;"1104399833639481344";https://twitter.com/alcamcast/status/1104399833639481344
Twistedankle3;2019-03-09 15:12;0;0;"Trump aligns with: Putin = anti-CHRISTIAN Kim = anti-CHRISTIAN MBS= anti-CHRISTIAN All 3 are MURDEROUS DICTATORs... Trump will align WITH them amd turn on Israel.. Anti-Semitic... https://twitter.com/WhiteHouse/status/1104088205853364226 …";;;;"1104399453656539137";https://twitter.com/Twistedankle3/status/1104399453656539137
